"ACWR.action.outcome","FEMI.action.outcome","HOMU.action.outcome","PLER.action.outcome","SACO.action.outcome","URLI.action.outcome"
0,3259.14677993237,0,0,0,0.488333333331554
0,0,1335.82615403412,0,0,0.488333333331554
0,0,0,564.29406978686,0,0.488333333331554
0,0,0,178.738561527048,1809.59296795277,0.488333333331554
0,3252.87846304955,0,0,0,0.48833333334486
464.089341037562,0,0,0,4005.182151375,0.488333333331554
0,0,0,183.678536584843,2192.06286001017,0.488333333331554
0,0,0,227.331223614577,1879.88691825864,0.488333333331554
0,0,0,208.999405912287,2567.62901501337,0.488333333336328
5957.81750235068,0,0,0,0,0.488333333331554
