"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","state_idx"
1,1,1,0,1,0,"dry",0,0,0,0,5072.11153581888,0,23
0,1,1,1,1,0,"dry",0,0,0,387.177162777096,4877.09164380973,0,30
1,1,1,0,0,1,"dry",5357.77775471681,0,0,0,0,3267.30581840922,39
1,0,1,1,0,1,"dry",4922.35590061265,0,0,278.821257961259,0,3027.14141695288,45
0,1,1,1,0,1,"dry",0,2058.02976968146,0,460.046093961935,0,3167.5274791838,46
1,1,1,1,0,1,"dry",4922.35590061265,0,0,278.821257961258,0,3027.14141695288,47
1,1,0,0,1,1,"wet",0,2701.35187468275,0,0,4176.34574853526,0,51
1,0,1,0,1,1,"wet",2953.38916187329,0,0,0,8391.21142810233,0,53
0,0,1,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,0,60
0,1,1,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,0,62
