"ACWR.action.outcome","FEMI.action.outcome","HOMU.action.outcome","PLER.action.outcome","SACO.action.outcome","URLI.action.outcome"
0,0,0.398999999999871,1279.01969303147,0,0.287
0,0,0.398999999999915,1420.79351762722,0,0.287
0,0,0.398999999999871,0,6185.96471332758,0.287
0,240.259893602807,0.399000000001087,0,2042.05879246115,0.287
476.964494702929,0,0.398999999999871,0,4827.94028997513,0.287
0,0,0.398999999999874,0,4355.98334275576,0.287
0,2601.12883818555,0.398999999999871,0,0,0.287
0,2667.79324426785,0.398999999999871,0,0,0.287
0,2601.12883818555,0.398999999999871,0,0,0.287000000000001
6083.53522920318,0,0.398999999999871,0,0,0.287
