"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","state_idx"
1,0,1,1,1,0,"wet",2953.3891618733,0,0,0,8391.21142810233,0,29
1,1,1,1,1,0,"dry",0,0,0,387.177162777096,4877.09164380973,0,31
1,1,1,0,0,1,"wet",0,3742.9676508044,0,0,0,0,39
1,1,0,1,0,1,"dry",4922.35590061265,0,0,278.821257961258,0,3027.14141695288,43
0,1,1,1,0,1,"dry",0,2058.02976968146,0,460.046093961935,0,3167.5274791838,46
1,0,1,0,1,1,"wet",2953.38916187329,0,0,0,8391.21142810233,0,53
0,1,1,0,1,1,"dry",0,0,0,0,5072.11153581888,0,54
1,1,1,0,1,1,"wet",0,2701.35187468275,0,0,4176.34574853526,0,55
1,1,0,1,1,1,"wet",0,2701.35187468275,0,0,4176.34574853526,0,59
0,1,1,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,0,62
