"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","state_idx"
1,1,1,1,0,0,"wet",0,3742.9676508044,0,0,0,0,15
1,1,0,1,0,1,"dry",4922.35590061265,0,0,278.821257961258,0,3027.14141695288,43
0,1,1,1,0,1,"wet",0,3742.9676508044,0,0,0,0,46
1,1,1,1,0,1,"wet",0,3742.9676508044,0,0,0,0,47
1,1,0,0,1,1,"dry",0,0,0,0,5072.11153581888,0,51
1,1,1,0,1,1,"dry",0,0,0,0,5072.11153581888,0,55
0,1,0,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,0,58
0,0,1,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,0,60
1,0,1,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,0,61
1,1,1,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,0,63
