"ACWR.action.outcome","FEMI.action.outcome","HOMU.action.outcome","PLER.action.outcome","SACO.action.outcome","URLI.action.outcome"
0,0,0,0,0,0
0,1674.01471775849,0,0,0,0
0,0,636.542993467594,0,0,0
0,1597.32460761486,0,0,0,0
0,0,0,732.119588713266,0,0
0,1800.38413242881,0,0,0,0
0,1732.40553958771,0,0,0,0
0,0,0,0,977.874217815151,0
0,0,0,0,3232.55740968208,0
0,0,0,0,3203.19787136105,0
0,0,0,0,1926.37387136528,0
0,1345.38624358889,0,0,0,0
0,0,0,1372.6968610261,3832.80270444263,0
0,4186.2320261535,0,0,0,0
0,0,0,0,0,2779.77095452169
0,0,0,0,0,0
0,1933.99409624931,0,0,0,0
0,0,432.835271404209,0,0,2389.15924734013
0,0,0,107.088756754491,0,1535.16892792415
0,0,0,94.1619312401813,0,1739.31609571029
0,0,0,114.689624708242,0,1534.72005189874
0,0,0,126.603365238174,0,1782.66309170259
0,0,0,0,5795.43112899267,0
0,0,0,0,6476.35033082275,0
0,1114.22298032286,0,0,0,0
0,1102.47129775386,0,0,0,0
479034.562872135,0,0,0,0,0
0,4160.54000299747,0,0,1694.12028230153,325.534873612122
438302.292945084,0,7587.28370909827,0,0,0
0,1294.1858926164,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
