"ACWR.action.outcome","FEMI.action.outcome","HOMU.action.outcome","PLER.action.outcome","SACO.action.outcome","URLI.action.outcome"
0,0,0,0,0,0
0,2044.72752312063,0,0,0,0
4998.46424990662,0,0,0,0,0
0,0,1063.8785732264,0,0,0
0,2038.46775250041,0,0,0,0
0,0,0,1205.94064177322,0,0
0,1068.07878630059,0,0,0,0
0,0,4.25122577599427,1199.60065039421,0,0
0,1062.10541489963,0,0,0,0
0,0,0,0,3271.0743254851,0
0,0,0,0,0,0
0,0,0,0,1699.19590962144,0
0,0,0,0,3490.82531679188,0
0,0,0,0,0,0
0,0,0,778.324660100268,0,0
0,0,0,0,3186.17559739469,0
0,58.5257629357811,0,0,0,0
0,0,0,771.145487213643,0,0
0,0,0,0,0,6041.31753093715
1595.07340376739,0,0,0,0,2474.21355582385
0,0,1124.75908274579,0,0,0
1831.86596656849,0,0,0,0,1728.90446516649
0,1729.58805006126,0,0,0,2335.86104006534
0,1202.55105364075,0,0,0,357.244730150935
0,0,0,946.704780170988,0,5913.59496420162
0,0,0,0,1319.15411163076,0
14.8869523426911,0,0,0,971.499981978804,0
0,0,0,0,84884.5250940549,2858.222012603
0,0,1012.33292735175,0,0,0
0,0,0,0,2194.6994755881,0
4486.02503719395,0,0,0,0,0
4143.77071112737,0,0,0,0,0
