"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","state_idx"
1,1,0,0,1,0,"dry",0,0,0,0,5072.11153581888,0,19
1,0,0,1,1,0,"dry",0,0,0,387.177162777096,4877.09164380973,0,25
0,0,1,1,1,0,"wet",0,0,0,0,8614.48470697596,0,28
1,0,1,1,1,0,"dry",0,0,0,387.177162777096,4877.09164380973,0,29
1,1,0,0,0,1,"wet",0,3742.9676508044,0,0,0,0,35
0,1,1,0,0,1,"dry",0,2441.95832048756,0,0,0,3600.73608868887,38
0,1,0,1,0,1,"wet",0,3742.9676508044,0,0,0,0,42
1,1,0,1,0,1,"wet",0,3742.9676508044,0,0,0,0,43
1,0,0,0,1,1,"dry",0,0,0,0,5072.11153581888,0,49
1,0,0,0,0,0,"dry",5976.62903988232,0,0,0,0,0,1
