"ACWR.action.outcome","FEMI.action.outcome","HOMU.action.outcome","PLER.action.outcome","SACO.action.outcome","URLI.action.outcome"
0,0,0,0,0,0
0,785.818431522751,0,0,0,0
0,0,1270.61489581011,0,0,0
0,895.330260496816,0,0,0,0
0,4819.10440952397,0,0,0,0
0,0,0,584.663462368992,0,0
0,1039.24373850478,0,0,0,0
0,0,0,0,3177.42014703836,0
0,339.005093873255,0,0,1632.17831611792,0
0,2131.21781905986,0,0,0,0
0,0,0,0,2011.7727518429,0
0,0,0,0,3243.86914424673,0
0,0,0,218.668560007181,334.212310251512,0
940.302372117023,0,0,0,5798.93553311766,0
0,0,0,226.044842125763,2140.60564722489,0
0,0,0,232.978614510155,404.320313181572,0
11786.9924669206,0,0,0,0,0
0,0,0,0,0,461.036063272965
0,1407.04021917051,0,0,0,0
0,0,0,0,0,6717.68525078431
0,0,0,0,0,4848.95817195201
0,0,0,0,0,11475.6480476684
0,0,0,572.600507870053,0,1339.70528573577
0,1450.1674238978,0,0,0,0
0,0,0,0,3582.06226712644,0
6286.28368607184,0,0,0,0,0
0,1131.10024871604,0,0,0,0
0,0,620.478142934587,0,0,0
0,0,0,141.728122623638,1399.47080650017,0
5144.5754883569,0,0,0,0,0
3744.13714449618,0,0,0,0,0
4095.75748736477,0,0,0,0,0
