"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","state_idx"
0,1,0,0,0,0,"wet",0,3742.9676508044,0,0,0,0,2
0,0,1,0,0,0,"wet",0,0,786.995011139359,0,0,0,4
0,0,1,1,0,0,"wet",0,0,0,2030.67844694714,0,0,12
0,0,0,0,1,0,"wet",0,0,0,0,8614.48470697596,0,16
1,0,0,0,1,0,"dry",0,0,0,0,5072.11153581888,0,17
0,0,0,1,1,0,"wet",0,0,0,0,8614.48470697596,0,24
0,0,0,0,0,1,"dry",0,0,0,0,0,3936.44733681903,32
0,0,1,0,0,1,"dry",0,0,720.933983618679,0,0,3494.1090391444,36
0,0,0,0,1,1,"dry",0,0,0,0,5072.11153581888,0,48
1,0,0,1,0,0,"dry",5487.54449852134,0,0,283.560254190435,0,0,9
