"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","state_idx"
1,1,1,0,0,0,"dry",5976.62903988232,0,0,0,0,0,7
0,0,0,1,0,0,"wet",0,0,0,2030.67844694714,0,0,8
0,1,0,1,1,0,"dry",0,0,0,387.177162777096,4877.09164380973,0,26
0,0,1,0,0,1,"wet",0,0,0,0,0,8130.19921373607,36
0,0,1,0,1,1,"dry",0,0,0,0,5072.11153581888,0,52
0,1,1,0,1,1,"wet",0,2701.35187468276,0,0,4176.34574853526,0,54
1,0,0,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,0,57
0,0,1,1,1,1,"wet",0,0,0,0,8541.21768214909,177.445900039294,60
0,1,1,1,1,1,"wet",0,2701.35187468276,0,0,4176.34574853526,0,62
1,0,0,0,0,0,"dry",5976.62903988232,0,0,0,0,0,1
