"ACWR.action.outcome","FEMI.action.outcome","HOMU.action.outcome","PLER.action.outcome","SACO.action.outcome","URLI.action.outcome"
0,1796.31174898747,0.505333333322956,0,0,0
3523.03343235836,1849.41000636336,0.50533333331626,21.6947957037928,0,0
0,1123.247966939,0.505333333316777,223.751181828456,0,0
0,0,0.50533333331626,0,4633.96086547623,0
2242.50612506397,0,0.505333333357309,0,5130.70553547215,0
0,0,0.50533333331626,156.25869455021,1043.10202190996,0
0,0,0.505333333436404,0,4813.43127444178,0
0,1224.83463907687,0.50533333331626,0,0,2863.27293541958
0,44.6652049647264,0.50533333331626,400.346901521851,0,2505.82676658573
0,0,0.50533333331626,312.999558854616,672.628361016525,0
