"ACWR.action.outcome","FEMI.action.outcome","HOMU.action.outcome","PLER.action.outcome","SACO.action.outcome","URLI.action.outcome"
0,3116.12122666666,0.498666666666667,0,0,0
0,0,0.498666666666667,522.641804133333,0,0
0,0,0.498666666666667,522.641804133333,0,0
0,2074.50522666666,0.498666666666667,0,2688.903034,0
0,0,0.498666666666667,0,3584.669034,0
0,0,0.498666666666667,0,0,6796.74550366667
0,0,0.498666666666667,1328.78290413333,0,4081.65050366666
0,0,0.498666666666667,0,3584.669034,0
4801.42196333334,0,0.498666666666667,0,0,0
4801.42196333334,0,0.498666666666667,0,0,0
