"task","name_nice","num_train","Specificity_mean","Specificity_sd","Sensitivity_mean","Sensitivity_sd"
"abundance","Annual plant",89,"0.000031","0.000096","0.99","0.01719"
"abundance","Human gut",89,"0.472195","0.303772","0.99","0.00522"
"abundance","Mouse gut",89,"0.000000","0.000000","1.00","0.00000"
"abundance","SORTIE-ND",89,"0.020968","0.017086","0.99","0.01031"
"abundance","Annual plant",264,"0.000000","0.000000","1.00","0.00024"
"abundance","Human gut",264,"0.462927","0.306334","0.99","0.00414"
"abundance","Mouse gut",264,"0.000000","0.000000","1.00","0.00000"
"abundance","SORTIE-ND",264,"0.032258","0.026339","0.98","0.00581"
"shannons_h","Annual plant",89,"0.247177","0.152217","0.97","0.02131"
"shannons_h","Human gut",89,"0.598206","0.197346","0.98","0.01353"
"shannons_h","Mouse gut",89,"0.287778","0.111167","1.00","0.00174"
"shannons_h","SORTIE-ND",89,"0.039706","0.028625","0.99","0.00339"
"shannons_h","Annual plant",264,"0.716440","0.112456","0.95","0.00499"
"shannons_h","Human gut",264,"0.653812","0.179780","0.98","0.01621"
"shannons_h","Mouse gut",264,"0.373333","0.151009","0.99","0.00442"
"shannons_h","SORTIE-ND",264,"0.108824","0.030376","0.99","0.00529"
"removal","Annual plant",89,"0.857570","0.219518","0.97","0.05003"
"removal","Human gut",89,"0.902874","0.168068","0.91","0.06902"
"removal","Mouse gut",89,"0.776574","0.284374","0.94","0.04922"
"removal","SORTIE-ND",89,"0.789890","0.271564","0.94","0.06289"
"removal","Annual plant",264,"0.863898","0.198121","0.99","0.01778"
"removal","Human gut",264,"0.912263","0.098506","0.96","0.03929"
"removal","Mouse gut",264,"0.777913","0.284855","0.98","0.02000"
"removal","SORTIE-ND",264,"0.747148","0.293548","0.97","0.02973"
