"ACRU.outcome","ACSA.outcome","BEAL.outcome","FAGR.outcome","TSCA.outcome","FRAM.outcome","PIST.outcome","PRSE.outcome","QURU.outcome"
0,0,0,0,0,2,0,103,141
0,0,0,0,0,0,0,200,25
0,0,0,0,0,1,0,166,45
0,0,0,0,240,0,58,0,0
0,0,0,0,296,0,123,0,0
0,0,0,0,209,0,50,0,0
0,0,0,0,220,0,6,21,6
0,0,0,0,153,0,0,78,2
0,0,0,0,171,0,4,49,0
0,0,0,0,193,0,24,0,20
0,0,0,0,281,0,44,0,14
0,0,0,0,207,0,7,0,21
0,0,0,0,174,6,77,67,0
0,0,0,0,183,4,1,36,0
0,0,0,0,210,0,25,123,0
0,0,0,165,0,0,0,0,42
0,0,0,203,0,0,0,0,1
0,0,0,220,0,0,0,0,0
0,0,0,246,0,0,0,0,2
0,0,0,249,0,0,0,0,11
0,0,0,167,0,0,0,0,63
0,0,0,210,51,0,0,1,1
0,0,0,128,166,0,0,19,1
0,0,0,111,80,0,0,3,0
0,0,0,99,144,0,9,0,0
0,0,0,156,107,0,1,0,0
0,0,0,172,119,1,3,0,0
0,0,277,0,0,0,0,0,0
0,0,257,0,0,0,0,0,0
0,0,159,0,0,1,7,54,0
0,0,140,0,0,0,15,37,0
0,0,203,0,0,0,14,53,0
0,0,4,0,215,0,0,56,5
0,0,8,0,143,0,0,48,10
0,0,9,0,208,0,0,29,41
0,0,86,0,168,0,0,0,0
0,0,67,0,306,0,0,0,0
0,0,29,0,215,0,2,50,0
0,0,44,0,154,0,6,22,0
0,0,43,0,156,0,33,8,0
0,0,22,191,0,0,0,17,0
0,0,17,174,0,0,0,16,0
0,0,12,196,0,0,0,21,0
0,0,38,164,0,0,17,30,0
0,0,2,167,0,0,1,14,0
0,0,64,244,0,0,2,7,0
0,0,0,246,115,0,0,0,0
0,0,6,216,98,0,0,0,0
0,0,5,154,64,0,0,0,0
0,0,4,218,109,0,0,0,1
0,0,0,171,105,0,0,0,5
0,0,24,108,108,0,0,0,0
0,0,2,144,103,0,5,0,0
0,0,1,170,56,0,0,0,0
