"ACRU.outcome","ACSA.outcome","BEAL.outcome","FAGR.outcome","TSCA.outcome","FRAM.outcome","PIST.outcome","PRSE.outcome","QURU.outcome"
0,0,0,0,0,0,0,0,307
0,0,0,0,0,0,0,306,0
0,0,0,0,0,0,0,162,0
0,0,0,0,0,0,0,299,0
0,0,0,0,0,0,168,0,22
0,0,0,0,0,0,280,0,74
0,0,0,0,0,0,297,0,151
0,0,0,0,0,0,182,99,46
0,0,0,0,0,0,140,157,9
0,0,0,0,0,0,169,149,79
0,0,0,0,0,194,0,0,0
0,0,0,0,0,163,0,0,0
0,0,0,0,0,3,293,0,0
0,0,0,0,0,1,259,0,48
0,0,0,0,0,0,91,114,45
0,0,0,0,0,0,126,190,53
0,0,0,0,0,0,91,156,8
0,0,0,0,283,0,0,0,0
0,0,0,0,236,0,0,0,0
0,0,0,0,286,0,0,0,0
0,0,0,0,209,0,0,51,0
0,0,0,0,180,0,0,92,0
0,0,0,0,197,0,0,58,0
0,0,0,0,184,0,75,0,34
0,0,0,0,218,0,39,0,20
0,0,0,0,143,0,32,0,4
0,0,0,0,276,0,18,46,0
0,0,0,0,174,0,5,92,0
0,0,0,0,147,0,11,70,0
0,0,0,0,153,0,0,78,2
0,0,0,0,220,0,6,21,6
0,0,0,0,171,0,4,49,0
0,0,0,0,163,4,0,39,14
0,0,0,0,144,1,0,47,6
0,0,0,0,106,0,0,61,4
0,0,0,0,113,4,84,0,0
0,0,0,0,251,2,77,0,0
0,0,0,0,274,0,70,0,0
0,0,0,0,193,0,24,0,20
0,0,0,0,207,0,7,0,21
0,0,0,0,281,0,44,0,14
0,0,0,0,108,0,11,37,3
0,0,0,0,272,0,0,40,23
0,0,0,0,123,0,4,77,32
0,0,0,240,0,0,0,0,0
0,0,0,188,0,0,0,0,0
0,0,0,236,0,0,0,0,0
0,0,0,298,0,0,0,25,0
0,0,0,211,0,0,0,17,35
0,0,0,177,0,0,0,8,0
0,0,0,201,0,0,65,16,20
0,0,0,237,0,0,2,15,2
0,0,0,168,0,0,20,29,6
0,0,0,194,0,18,0,0,0
0,0,0,202,0,3,0,0,0
0,0,0,203,0,2,0,8,3
0,0,0,161,0,0,0,6,3
0,0,0,227,0,0,0,8,12
0,0,0,152,0,0,9,0,4
0,0,0,164,0,0,21,0,5
0,0,0,155,0,1,6,0,0
0,0,0,94,136,0,0,0,0
0,0,0,43,134,0,0,0,0
0,0,0,101,109,0,0,0,0
0,0,0,137,86,0,0,0,0
0,0,0,140,84,0,0,0,1
0,0,0,144,138,0,0,0,0
0,0,0,125,138,0,0,14,0
0,0,0,82,56,0,0,18,0
0,0,0,163,94,0,0,5,0
0,0,0,148,116,0,25,0,0
0,0,0,114,119,0,27,0,0
0,0,0,157,137,0,6,0,0
0,0,0,106,120,0,16,0,1
0,0,0,135,169,0,0,0,15
0,0,0,82,188,0,13,0,9
0,0,0,125,55,0,37,4,0
0,0,0,116,37,0,2,11,0
0,0,0,84,149,0,6,23,0
0,0,0,77,162,0,4,9,0
0,0,0,140,92,0,0,0,0
0,0,0,197,75,0,0,22,0
0,0,0,123,177,0,0,0,0
0,0,0,216,134,0,0,0,0
0,0,0,150,105,0,0,0,0
0,0,0,134,90,0,0,0,2
0,0,0,201,126,0,0,0,0
0,0,0,165,95,0,0,0,6
0,0,0,73,114,0,0,15,0
0,0,0,99,80,0,0,30,0
0,0,0,81,80,1,0,40,0
0,0,0,98,111,0,2,0,1
0,0,0,107,80,0,2,0,0
0,0,0,191,78,0,0,0,0
0,0,0,121,138,0,0,0,0
0,0,0,117,135,0,0,0,0
0,0,0,194,95,0,2,13,0
0,0,277,0,0,0,0,0,0
0,0,257,0,0,0,0,0,0
