"ACRU.outcome","ACSA.outcome","BEAL.outcome","FAGR.outcome","TSCA.outcome","FRAM.outcome","PIST.outcome","PRSE.outcome","QURU.outcome"
0,0,0,0,0,0,0,0,307
0,0,0,0,0,0,135,163,0
0,0,0,0,0,0,200,167,0
0,0,0,0,0,0,94,216,0
0,0,0,0,0,0,182,99,46
0,0,0,0,0,0,169,149,79
0,0,0,0,0,0,140,157,9
0,0,0,0,0,3,293,0,0
0,0,0,0,240,0,58,0,0
0,0,0,0,296,0,123,0,0
0,0,0,0,209,0,50,0,0
0,0,0,0,305,3,0,0,0
0,0,0,0,255,12,0,0,0
0,0,0,0,303,4,0,0,0
0,0,0,0,123,0,4,77,32
0,0,0,0,272,0,0,40,23
0,0,0,0,108,0,11,37,3
0,0,0,165,0,0,0,0,42
0,0,0,203,0,0,0,0,1
0,0,0,220,0,0,0,0,0
0,0,0,177,0,0,0,8,0
0,0,0,298,0,0,0,25,0
0,0,0,211,0,0,0,17,35
0,0,0,199,0,0,109,0,0
0,0,0,142,0,0,49,0,0
0,0,0,242,0,0,5,0,0
0,0,0,152,0,0,9,0,4
0,0,0,155,0,1,6,0,0
0,0,0,164,0,0,21,0,5
0,0,98,0,0,0,7,97,0
0,0,155,0,0,0,58,116,3
0,0,151,0,0,0,47,81,2
0,0,130,0,0,1,0,89,0
0,0,160,0,0,0,0,57,0
0,0,96,0,0,0,0,131,0
0,0,79,0,256,0,0,0,0
0,0,17,0,246,0,7,45,0
0,0,40,0,242,0,4,36,0
0,0,30,0,188,0,25,49,0
0,0,32,160,0,0,0,21,2
0,0,6,125,0,0,7,11,0
0,0,42,217,0,0,0,1,0
0,0,18,52,188,0,0,0,1
0,0,3,99,87,0,0,0,0
0,0,2,150,143,0,0,0,1
0,0,0,95,121,0,0,2,4
0,0,6,113,190,0,0,10,0
0,0,0,136,79,0,0,4,1
0,0,9,99,64,0,3,8,0
0,0,5,96,99,0,0,4,3
0,0,13,142,132,0,0,0,0
0,0,4,218,109,0,0,0,1
0,0,0,171,105,0,0,0,5
0,0,24,108,108,0,0,0,0
0,0,1,170,56,0,0,0,0
0,0,2,144,103,0,5,0,0
0,0,11,139,60,0,10,0,0
0,0,15,174,40,0,16,0,2
0,0,0,222,55,0,8,0,3
0,0,4,148,47,0,1,0,0
0,0,2,161,116,0,6,0,0
0,0,3,153,67,1,0,7,0
0,0,0,139,97,0,0,24,0
0,0,0,161,92,0,0,0,0
0,0,42,42,154,0,0,1,0
0,0,3,89,53,0,5,0,3
0,180,0,0,0,0,0,0,0
0,161,0,0,0,0,0,0,0
0,210,0,0,0,0,0,0,0
0,0,0,0,0,0,0,238,5
0,0,0,0,0,0,0,269,37
0,0,0,0,169,0,0,25,0
0,0,0,0,197,0,0,83,0
0,0,0,0,220,0,0,89,0
0,0,0,0,249,0,0,53,4
0,0,0,0,260,0,0,26,0
0,0,0,0,255,0,0,120,6
0,0,0,0,289,0,0,0,0
0,0,0,0,242,0,0,109,0
0,0,0,0,156,0,0,32,0
0,0,0,0,167,0,0,104,0
0,0,0,0,156,0,18,46,1
0,0,0,0,212,0,4,15,0
0,0,0,0,214,4,19,62,4
0,0,0,227,0,0,0,0,0
0,1,0,200,0,0,0,0,0
0,0,0,240,0,0,0,0,0
0,0,0,216,0,0,0,13,0
0,0,0,284,0,0,0,2,0
0,1,0,160,0,0,0,7,0
0,0,0,232,0,0,0,27,0
0,0,0,215,0,0,0,8,0
0,0,0,230,0,0,0,15,0
0,0,0,155,0,0,122,0,7
0,0,0,125,0,6,17,0,1
0,0,0,203,0,0,2,0,2
0,0,0,156,58,1,0,0,0
0,0,0,102,80,1,0,0,0
0,0,0,84,57,0,0,0,0
0,3,241,0,0,0,0,0,4
0,3,174,0,0,0,0,0,123
0,0,232,0,0,0,0,0,28
0,10,167,0,0,0,25,66,5
0,0,174,0,0,0,21,50,0
0,0,120,0,0,0,41,40,54
0,0,239,0,0,17,0,0,0
0,0,239,0,0,0,0,0,0
0,0,276,0,0,0,0,0,0
0,0,147,0,0,0,0,57,0
0,4,164,0,0,0,0,63,0
0,0,94,0,0,0,0,108,0
11,0,0,0,0,0,0,0,167
49,0,0,0,0,225,0,0,0
17,0,0,0,0,279,0,0,0
46,0,0,0,0,194,0,0,0
0,0,0,0,0,0,60,127,60
3,0,0,0,0,0,64,88,65
0,0,0,0,0,0,180,146,7
0,0,0,0,231,0,0,0,0
17,0,0,0,303,0,0,0,0
1,0,0,0,277,0,0,0,0
2,0,0,0,275,0,0,10,0
0,0,0,0,211,0,0,55,0
0,0,0,0,188,2,0,29,0
3,0,0,0,251,2,46,0,0
0,0,0,0,187,0,67,0,0
0,0,0,0,269,1,84,0,0
0,0,0,0,158,0,18,60,0
0,0,0,0,150,0,15,36,0
0,0,0,0,129,0,49,130,0
0,0,0,0,265,0,35,52,5
0,0,0,0,209,0,18,20,4
24,0,0,213,0,0,0,0,74
0,0,0,133,0,0,0,0,7
0,0,0,253,0,0,0,0,0
2,0,0,157,0,0,0,0,37
0,0,0,232,0,0,0,0,5
0,0,0,238,0,0,0,100,0
0,0,0,169,0,0,0,25,0
0,0,0,205,0,0,0,11,0
0,0,0,249,0,0,0,28,19
0,0,0,234,0,0,0,15,8
0,0,0,193,0,0,0,58,23
0,0,0,149,0,5,50,30,0
0,0,0,232,0,0,20,11,0
0,0,0,186,0,0,3,5,0
0,0,0,214,0,0,1,54,11
0,0,0,263,0,0,0,20,3
0,0,0,279,0,0,0,5,0
0,0,0,170,39,0,0,6,3
0,0,0,85,56,0,0,17,0
0,0,0,113,184,0,0,32,0
0,0,0,112,113,0,2,0,0
0,0,0,130,143,0,4,0,0
0,0,0,153,58,0,10,0,0
1,0,166,0,0,0,0,0,109
0,0,222,0,0,0,0,0,20
0,0,239,0,0,0,0,0,6
0,0,148,0,0,0,55,30,10
1,0,120,0,0,0,13,43,4
0,0,179,0,0,0,14,25,6
0,0,213,0,0,0,53,0,31
0,0,264,0,0,0,12,0,0
0,0,176,0,0,2,158,0,40
0,0,27,0,254,0,0,31,0
0,0,2,0,151,0,0,25,0
0,0,27,0,137,0,0,24,0
0,0,32,0,176,0,44,18,0
0,0,25,0,166,0,0,35,0
0,0,32,0,191,0,1,22,0
0,0,2,267,0,0,2,0,0
0,0,32,175,0,0,19,0,2
0,0,1,217,0,0,12,0,11
0,0,9,133,58,0,0,0,0
0,0,18,242,71,0,0,0,0
0,0,55,161,128,0,0,0,0
0,0,9,169,153,0,0,11,0
2,0,0,132,89,0,0,7,0
0,0,23,152,99,0,0,3,0
0,0,4,120,108,0,0,6,0
0,0,9,176,97,0,0,12,0
0,0,0,203,140,0,0,11,0
0,0,0,140,110,0,0,0,0
0,0,11,197,14,0,0,0,0
0,0,11,58,146,0,0,0,0
0,0,11,104,123,1,12,0,0
2,0,4,145,113,0,0,0,0
0,0,29,58,78,0,1,0,0
53,46,0,0,0,109,0,0,0
67,19,0,0,0,116,0,0,0
34,0,0,0,0,212,0,0,0
0,0,0,0,195,0,78,0,0
0,4,0,0,241,0,9,0,0
0,0,0,0,104,0,95,0,0
0,0,0,0,266,0,19,0,14
0,0,0,0,165,0,41,0,5
0,2,0,0,228,0,98,0,37
11,6,0,0,205,35,0,0,0
0,0,0,0,253,2,0,0,0
0,0,0,0,259,7,0,0,0
2,0,0,0,243,0,110,0,0
1,0,0,0,178,0,95,0,0
0,0,0,0,219,0,12,0,0
0,4,0,0,135,0,14,49,21
0,0,0,0,230,0,31,49,17
0,0,0,177,0,0,0,0,49
0,1,0,158,0,0,0,0,1
0,0,0,238,0,0,0,0,4
0,0,0,123,0,0,0,63,0
1,0,0,159,0,0,0,3,14
0,0,0,251,0,0,0,5,0
0,0,0,251,0,0,4,0,14
0,0,0,279,0,0,15,0,0
