"ACRU.outcome","ACSA.outcome","BEAL.outcome","FAGR.outcome","TSCA.outcome","FRAM.outcome","PIST.outcome","PRSE.outcome","QURU.outcome"
0,0,0,0,0,0,246,0,166.5
0,0,0,0,0,0,246,0,166.5
0,0,0,0,0,0,246,0,166.5
0,0,0,110.5,110.5,0,0,0,0
0,0,0,110.5,110.5,0,0,0,0
0,0,0,110.5,110.5,0,0,0,0
0,0,0,110.5,110.5,0,0,11,0
0,0,0,110.5,110.5,0,0,11,0
0,0,0,110.5,110.5,0,0,11,0
0,19.5,0,0,0,30.5,0,0,166.5
0,19.5,0,0,0,30.5,0,0,166.5
0,0,60,0,246,0,11,60,0
0,0,60,0,246,0,11,60,0
0,0,60,0,246,0,11,60,0
0,0,30.5,0,246,0,11,60,0
0,0,30.5,0,246,0,11,60,0
0,0,30.5,0,246,0,11,60,0
0,0,19.5,246,0,0,0,11,0
0,0,19.5,246,0,0,0,11,0
0,0,19.5,246,0,0,0,11,0
0,0,0,0,0,0,246,0,0
0,0,0,166.5,0,0,0,30.5,0
0,0,0,166.5,0,0,0,30.5,0
0,0,0,166.5,0,0,0,30.5,0
0,0,0,246,0,0,30.5,0,0
0,0,0,246,0,0,30.5,0,0
0,0,0,246,0,0,30.5,0,0
0,0,0,246,0,0,30.5,0,0
0,0,0,246,0,0,30.5,0,0
0,0,0,246,0,0,30.5,0,0
0,0,0,166.5,60,0,0,11,4
0,0,0,166.5,60,0,0,11,4
0,0,0,166.5,60,0,0,11,4
0,0,166.5,0,0,0,19.5,110.5,11
0,0,166.5,0,0,0,19.5,110.5,11
0,0,166.5,0,0,0,19.5,110.5,11
0,0,60,0,166.5,0,11,60,0
0,0,60,0,166.5,0,11,60,0
0,0,60,0,166.5,0,11,60,0
0,0,11,166.5,0,0,0,11,0
0,0,11,166.5,0,0,0,11,0
0,0,11,166.5,0,0,0,11,0
0,0,4,166.5,110.5,0,0,11,4
0,0,4,166.5,110.5,0,0,11,4
0,0,4,166.5,110.5,0,0,11,4
0,0,0,110.5,166.5,0,0,0,0
0,0,0,110.5,166.5,0,0,0,0
0,0,0,110.5,166.5,0,0,0,0
0,0,19.5,0,246,0,0,30.5,0
0,0,19.5,0,246,0,0,30.5,0
0,0,19.5,0,246,0,0,30.5,0
0,0,19.5,0,246,0,11,30.5,0
0,0,19.5,0,246,0,11,30.5,0
0,0,19.5,0,246,0,11,30.5,0
0,0,0,110.5,60,0,0,30.5,0
0,0,0,110.5,60,0,0,30.5,0
0,0,0,110.5,60,0,0,30.5,0
0,0,4,110.5,110.5,0,0,0,0
0,0,4,110.5,110.5,0,0,0,0
0,0,4,110.5,110.5,0,0,0,0
