"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
3.7568205293235,6.48196802788033,0,5.44009282066327e-15,0,0,0,0,0,0,0
1.11328578973298,0,0,0,0.775245822482134,0,0,0,0,0,0
0,0,3.50414098763227,0,0.182760175104079,0,0,0,0,0,0
0,2.95766993993706,0,0,0,0,0,1.24344978758018e-14,0,0,0
0,0,0,0.641982115841747,0,0,0.05345596463445,0.058869268108643,0,0,0
0,0,0,0,0,2.13115877519995,0,0,13.3203954142461,0,0
0,0,0,0,0,0,0,0,7.0260916345378,0,0
0,2.31682582325147,0,0,0,1.32833220811153,0,0,0,1.35756565702604,0
0,2.95766993993706,0,0,0,0,5.33911417459074e-14,0,0,0,1.70530256582424e-13
0,0,0,0,0,1.17654437182751,0,0,0,1.1190370423367,0.10152455082283
