"MelS.action","Hyd.action","SimA.action","Vir.action","Stv.action","Merc.action","Trop.action","Ins.action","Wplus.action","Eqx.action","Paul.action","Neb.action","Zap.action","Fun.action","Psd.action","Ser.action","WW.action","Pro.action","Eug.action","Bir.action","Pallid.action","food.initial","temperature.initial","MelS.outcome","Hyd.outcome","SimA.outcome","Vir.outcome","Stv.outcome","Merc.outcome","Trop.outcome","Ins.outcome","Wplus.outcome","Eqx.outcome","Paul.outcome","Neb.outcome","Zap.outcome","Fun.outcome","Psd.outcome","Ser.outcome","WW.outcome","Pro.outcome","Eug.outcome","Bir.outcome","Pallid.outcome","state_idx"
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"thick","19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"thick","25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524304
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"thick","25",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"thick","25",0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,192
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"thin","19",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36864
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"thick","25",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,266240
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"thin","25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,270336
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"thick","19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2097152
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"thick","25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,540672
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"thin","19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,98304
