"BH.action","CA.action","BU.action","PC.action","BO.action","BV.action","BT.action","EL.action","FP.action","CH.action","DP.action","ER.action"
0.0486715935363422,0.0356476117587988,0,0,0,0,0,0,0,0,0,0
0,0.00383215269578906,0.0481671260857797,0,0,0,0,0,0,0,0,0
0,0,0.0844394333328822,0.0811882987536849,0,0,0,0,0,0,0,0
0,0,0,0.0827242197487926,0.0442417025496337,0,0,0,0,0,0,0
0,0,0,0,0,0.0356476117587988,0,0,0,0,0,0
0.0481671260857797,0,0,0,0,0.00383215269578906,0,0,0,0,0,0
0,0.0811882987536849,0,0,0,0.0115825899050418,0,0,0,0,0,0
0,0,0.0442417025496337,0,0,0.0442417025496337,0,0,0,0,0,0
0,0,0,0.0356476117587988,0,0.0486715935363422,0,0,0,0,0,0
0,0,0,0,0.0481671260857797,0.0522862081287224,0,0,0,0,0,0
0,0,0,0,0,0,0.0115825899050418,0,0,0,0,0
0.0442417025496337,0,0,0,0,0,0.0442417025496337,0,0,0,0,0
0,0,0.0968696586247884,0,0,0,0.0486715935363422,0,0,0,0,0
0,0,0,0,0.00383215269578906,0,0.0522862081287224,0,0,0,0,0
0,0,0,0,0,0.0844394333328822,0.0811882987536849,0,0,0,0,0
0.0827242197487926,0,0,0,0,0,0,0.0442417025496337,0,0,0,0
0,0,0,0,0,0,0.0968696586247884,0.0486715935363422,0,0,0,0
0,0,0,0,0,0,0,0,0.00383215269578906,0,0,0
0,0.0811882987536849,0,0,0,0,0,0,0.0115825899050418,0,0,0
0,0,0,0,0,0,0.0151429011080501,0,0.0442417025496337,0,0,0
0,0,0,0,0,0,0,0.0968696586247884,0.0486715935363422,0,0,0
0,0,0.0522862081287224,0,0,0,0,0,0,0.00383215269578906,0,0
0,0,0,0,0.0844394333328822,0,0,0,0,0.0115825899050418,0,0
0.0442417025496337,0,0,0,0,0,0,0,0,0,0.0151429011080501,0
0,0,0,0.0486715935363422,0,0,0,0,0,0,0.0356476117587988,0
0,0,0,0,0.00383215269578906,0,0,0,0,0,0.00383215269578906,0
0,0,0,0,0,0,0.0811882987536849,0,0,0,0.0115825899050418,0
0,0,0,0,0,0,0,0.0442417025496337,0,0,0.0442417025496337,0
0,0,0,0,0,0,0,0,0,0,0,0.0356476117587988
0,0,0,0.0481671260857797,0,0,0,0,0,0,0,0.00383215269578906
0,0,0,0,0,0,0,0,0.0115825899050418,0,0,0.0115825899050418
0,0,0,0,0,0,0,0,0,0.0151429011080501,0,0.0442417025496337
