"AGHE.outcome","AGRE.outcome","AMME.outcome","ANAR.outcome","CEME.outcome","CLPU.outcome","ERBO.outcome","ERCI.outcome","EUPE.outcome","GECA.outcome","HECO.outcome","LACA.outcome","LOPU.outcome","LOWR.outcome","MEPO.outcome","NAAT.outcome","PLER.outcome","SACA.outcome"
0,0,0,0,4309.3837406038,0,0,0,0,0,29287.5726553314,0,0,0,0,0,0,0
0,5.56733541304541e-10,0,0,4320.88243109017,0,0,0.000721326157812323,0,0,29174.1601662758,0,0,0,0,0,0,0
0,0,0,0,4311.19676348951,0,0,0,0,0,29269.6934593681,0,0,0,0,0,0,0
0,6.27657348342449e-10,0,0,4321.03632185916,0,0,0,0,0,29172.6505263129,0,0,0,0,0,0,0
0,5.71965450793829e-10,0,0,4320.91628555425,0,0,0.000906463723254457,0,0,29173.8241335914,0,0,0,0,0,0,0
0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4056.57287699096,0,0,1218.64479258368,0,0,0.0142666606376917,0,0,0,0,0,0,0,0,0,0
3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6.272074e-10,0,0,4321.034,0,0,0.0009306415,0,0,29172.66,0,0,0,0,0,0,0
0,0,0,0,6323.349,0,0,0,0,0,0,0,0,408.6999,0,0,0,0
0,5.156798e-10,0,0,4320.787,0,0,0,0,0,29175.11,0,0,0,0,0,0,0
0,4146.173,0,0,0,0,0,0.03431852,0,0,0,0,0,0,0,0,0,0
0,5.696531e-10,0,0,4320.913,0,0,0,0,0,29173.87,0,0,0,0,0,0,0
0,0,0,0,4311.074,0,0,0,0,0,29270.9,0,0,0,0,0,0,0
0,4056.575,0,0,1218.659,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6320.578,0,0,0.08462607,0,0,0,0,0,409.932,0,0,0,0
0,0,0,0,4309.383,0,0,0,0,0,29287.58,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0
0,0,0,0,0,0,0,9.516649e-05,0,0,0,0,0,0,0,0,21699.97,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0
0,0,0,0,0,0,0,8.636304e-05,0,0,106.2089,0,0,0,0,0,21699.67,0
0,0,0,0,0,0,0,0,0,0,138.5219,0,0,0,0,0,21699.58,0
0,0,0,0,0,0,0,0,0,0,100.9914,0,0,0,0,0,21699.68,0
0,0,0,0,0,0,0,8.826846e-05,0,0,0,0,0,0,0,0,21699.97,0
0,0,0,0,0,0,0,8.912147e-05,0,0,0,0,0,0,0,0,21699.97,0
0,0,0,0,0,0,0,8.601149e-05,0,0,0,0,0,0,0,0,21699.97,0
0,0,0,0,0,0,0,0.000111343,0,0,0,0,0,0,0,0,21699.97,0
0,0,0,0,0,0,0,0,0,0,135.9011,0,0,0,0,0,21699.58,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0
0,0,0,0,0,0,0,0.0001086081,0,0,0,0,0,0,0,0,21699.97,0
0,0,0,0,0,0,0,0.0001138832,0,0,139.8388,0,0,0,0,0,21699.57,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0
0,0,0,0,0,0,0,0,0,0,92.72988,0,0,0,0,0,21699.71,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0
0,0,0,0,0,0,0,8.590606e-05,0,0,0,0,0,0,0,0,21699.97,0
0,0,0,0,0,0,0,0,0,0,93.41171,0,0,0,0,0,21699.71,0
0,0,0,0,0,0,0,0.0001119222,0,0,34893.15,0,0,0,0,0,0,1211.746
0,0,0,0,4311.613,0,0,0,0,0,29265.59,0,0,0,0,0,0,2.33035e-08
0,0,0,0,0,0,0,0,0,0,34893.15,0,0,0,0,0,0,1211.746
0,0,0,0,0,0,0,0.0001332266,0,0,34893.15,0,0,0,0,0,0,1211.746
0,0,0,0,4311.59,0,0,0.0001504657,0,0,29265.82,0,0,0,0,0,0,2.114236e-08
0,9.190778e-10,0,0,4321.537,0,0,0,0,0,29167.71,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,34893.15,0,0,0,0,0,0,1211.746
0,1.00281e-09,0,0,4321.654,0,0,0.0006423533,0,0,29166.55,0,0,0,0,0,0,0
0,1.087743e-09,0,0,4321.766,0,0,0,0,0,29165.45,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0001732243,0,0,0,0,0,0,0,0,0,8341.718
0,4146.172,0,0,0,0,0,0.03826505,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0001128216,0,0,34893.15,0,0,0,0,0,0,1211.746
0,4146.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4311.593,0,0,0,0,0,29265.79,0,0,0,0,0,0,2.143663e-08
0,0,0,0,0,0,0,0,0,0,34893.14,0,0,0,0,0,0,1211.747
0,0,0,0,4311.628,0,0,0.0001828269,0,0,29265.43,0,0,0,0,0,0,2.493084e-08
0,4146.174,0,0,0,0,0,0.030555,0,0,0,0,0,0,0,0,0,0
0,1.004377e-09,0,0,4321.657,0,0,0,0,0,29166.52,0,0,0,0,0,0,0
0,4056.575,0,0,1218.659,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4146.172,0,0,0,0,0,0.03717992,0,0,0,0,0,0,0,0,0,0
0,4056.573,0,0,1218.646,0,0,0.01324198,0,0,0,0,0,0,0,0,0,0
