"AGHE.outcome","AGRE.outcome","AMME.outcome","ANAR.outcome","CEME.outcome","CLPU.outcome","ERBO.outcome","ERCI.outcome","EUPE.outcome","GECA.outcome","HECO.outcome","LACA.outcome","LOPU.outcome","LOWR.outcome","MEPO.outcome","NAAT.outcome","PLER.outcome","SACA.outcome"
0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6.32627648214005e-10,0,0,4321.04644447175,0,0,0,0,0,29172.550683292,0,0,0,0,0,0,0
0,0,0,0,6320.50051676848,0,0,0.0896044514615444,0,0,0,0,0,409.964998585532,0,0,0,0
0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5.653268,0,0,0,0,0,3183.471,0,0,0,0
0,0,0,0,0,0,0,0,0,0,183.0011,0,0,0,0,0,21699.45,0
0,0,0,0,0,0,0,0,0,0,126.1431,0,0,0,0,0,21699.61,0
0,0,0,0,0,0,0,0.0001086742,0,0,0,0,0,0,0,0,21699.97,0
0,0,0,0,0,0,0,0,0,0,105.5543,0,0,0,0,0,21699.67,0
0,4056.575,0,0,1218.659,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,34893.19,0,0,0,0,0,0,1211.736
0,0,0,0,4311.624,0,0,0.0001838721,0,0,29265.48,0,0,0,0,0,0,2.443395e-08
0,0,0,0,5490.895,0,0,0.0003772277,0,0,0,0,0,0,0,0,0,4574.097
0,0,0,0,5490.895,0,0,0,0,0,0,0,0,0,0,0,0,4574.096
0,0,0,0,4311.592,0,0,0.0001525659,0,0,29265.79,0,0,0,0,0,0,2.140631e-08
0,0,0,0,0,0,0,0,0,0,119.0013,0,0,0,0,0,21699.63,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0
0,0,0,0,0,0,0,8.072993e-05,0,0,115.491,0,0,0,0,0,21699.64,0
0,0,0,0,0,0,0,0,0,0,131.1502,0,0,0,0,0,21699.6,0
0,0,0,0,0,0,0,8.160864e-05,0,0,0,0,0,0,0,0,21699.97,0
